Report Date,Region Name,Grade,Weight Range,Live Wtd Avg Price
03/03/2023,NORTHWEST,Premium White,All weights,
03/03/2023,NORTHWEST,Breaker (75% lean),All weights,
03/03/2023,SOUTHWEST,Premium White,All weights,
03/03/2023,SOUTHWEST,Breaker (75% lean),All weights,
03/03/2023,EASTERN AREA,Premium White,All weights,83.04
03/03/2023,EASTERN AREA,Breaker (75% lean),All weights,
03/02/2023,NORTHWEST,Premium White,All weights,
03/02/2023,NORTHWEST,Breaker (75% lean),All weights,
03/02/2023,SOUTHWEST,Premium White,All weights,
03/02/2023,SOUTHWEST,Breaker (75% lean),All weights,
03/02/2023,EASTERN AREA,Premium White,All weights,79.16
03/02/2023,EASTERN AREA,Breaker (75% lean),All weights,
03/01/2023,NORTHWEST,Premium White,All weights,
03/01/2023,NORTHWEST,Breaker (75% lean),All weights,
03/01/2023,SOUTHWEST,Premium White,All weights,
03/01/2023,SOUTHWEST,Breaker (75% lean),All weights,
03/01/2023,EASTERN AREA,Premium White,All weights,84.55
03/01/2023,EASTERN AREA,Breaker (75% lean),All weights,84.11
02/28/2023,NORTHWEST,Premium White,All weights,
02/28/2023,NORTHWEST,Breaker (75% lean),All weights,
02/28/2023,SOUTHWEST,Premium White,All weights,
02/28/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/28/2023,EASTERN AREA,Premium White,All weights,87.69
02/28/2023,EASTERN AREA,Breaker (75% lean),All weights,84.52
02/27/2023,NORTHWEST,Premium White,All weights,
02/27/2023,NORTHWEST,Breaker (75% lean),All weights,
02/27/2023,SOUTHWEST,Premium White,All weights,
02/27/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/27/2023,EASTERN AREA,Premium White,All weights,
02/27/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/24/2023,NORTHWEST,Premium White,All weights,
02/24/2023,NORTHWEST,Breaker (75% lean),All weights,113.63
02/24/2023,SOUTHWEST,Premium White,All weights,
02/24/2023,SOUTHWEST,Breaker (75% lean),All weights,93.65
02/24/2023,EASTERN AREA,Premium White,All weights,80.44
02/24/2023,EASTERN AREA,Breaker (75% lean),All weights,102.56
02/23/2023,NORTHWEST,Premium White,All weights,
02/23/2023,NORTHWEST,Breaker (75% lean),All weights,
02/23/2023,SOUTHWEST,Premium White,All weights,
02/23/2023,SOUTHWEST,Breaker (75% lean),All weights,90.88
02/23/2023,EASTERN AREA,Premium White,All weights,84.13
02/23/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/22/2023,NORTHWEST,Premium White,All weights,
02/22/2023,NORTHWEST,Breaker (75% lean),All weights,
02/22/2023,SOUTHWEST,Premium White,All weights,
02/22/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/22/2023,EASTERN AREA,Premium White,All weights,
02/22/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/21/2023,NORTHWEST,Premium White,All weights,
02/21/2023,NORTHWEST,Breaker (75% lean),All weights,
02/21/2023,SOUTHWEST,Premium White,All weights,
02/21/2023,SOUTHWEST,Breaker (75% lean),All weights,86.46
02/21/2023,EASTERN AREA,Premium White,All weights,78.69
02/21/2023,EASTERN AREA,Breaker (75% lean),All weights,82.02
02/20/2023,NORTHWEST,Premium White,All weights,
02/20/2023,NORTHWEST,Breaker (75% lean),All weights,99.66
02/20/2023,SOUTHWEST,Premium White,All weights,
02/20/2023,SOUTHWEST,Breaker (75% lean),All weights,90.82
02/20/2023,EASTERN AREA,Premium White,All weights,87.18
02/20/2023,EASTERN AREA,Breaker (75% lean),All weights,89.41
02/17/2023,NORTHWEST,Premium White,All weights,
02/17/2023,NORTHWEST,Breaker (75% lean),All weights,
02/17/2023,SOUTHWEST,Premium White,All weights,
02/17/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/17/2023,EASTERN AREA,Premium White,All weights,78.37
02/17/2023,EASTERN AREA,Breaker (75% lean),All weights,80.35
02/16/2023,NORTHWEST,Premium White,All weights,
02/16/2023,NORTHWEST,Breaker (75% lean),All weights,
02/16/2023,SOUTHWEST,Premium White,All weights,
02/16/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/16/2023,EASTERN AREA,Premium White,All weights,
02/16/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/15/2023,NORTHWEST,Premium White,All weights,
02/15/2023,NORTHWEST,Breaker (75% lean),All weights,
02/15/2023,SOUTHWEST,Premium White,All weights,
02/15/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/15/2023,EASTERN AREA,Premium White,All weights,85.00
02/15/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/14/2023,NORTHWEST,Premium White,All weights,
02/14/2023,NORTHWEST,Breaker (75% lean),All weights,91.01
02/14/2023,SOUTHWEST,Premium White,All weights,
02/14/2023,SOUTHWEST,Breaker (75% lean),All weights,86.79
02/14/2023,EASTERN AREA,Premium White,All weights,80.38
02/14/2023,EASTERN AREA,Breaker (75% lean),All weights,80.92
02/13/2023,NORTHWEST,Premium White,All weights,
02/13/2023,NORTHWEST,Breaker (75% lean),All weights,
02/13/2023,SOUTHWEST,Premium White,All weights,
02/13/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/13/2023,EASTERN AREA,Premium White,All weights,
02/13/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/10/2023,NORTHWEST,Premium White,All weights,
02/10/2023,NORTHWEST,Breaker (75% lean),All weights,
02/10/2023,SOUTHWEST,Premium White,All weights,
02/10/2023,SOUTHWEST,Breaker (75% lean),All weights,85.99
02/10/2023,EASTERN AREA,Premium White,All weights,83.67
02/10/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/09/2023,NORTHWEST,Premium White,All weights,
02/09/2023,NORTHWEST,Breaker (75% lean),All weights,82.80
02/09/2023,SOUTHWEST,Premium White,All weights,
02/09/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/09/2023,EASTERN AREA,Premium White,All weights,76.89
02/09/2023,EASTERN AREA,Breaker (75% lean),All weights,80.45
02/08/2023,NORTHWEST,Premium White,All weights,
02/08/2023,NORTHWEST,Breaker (75% lean),All weights,
02/08/2023,SOUTHWEST,Premium White,All weights,
02/08/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/08/2023,EASTERN AREA,Premium White,All weights,79.25
02/08/2023,EASTERN AREA,Breaker (75% lean),All weights,79.25
02/07/2023,NORTHWEST,Premium White,All weights,
02/07/2023,NORTHWEST,Breaker (75% lean),All weights,
02/07/2023,SOUTHWEST,Premium White,All weights,
02/07/2023,SOUTHWEST,Breaker (75% lean),All weights,84.60
02/07/2023,EASTERN AREA,Premium White,All weights,79.25
02/07/2023,EASTERN AREA,Breaker (75% lean),All weights,77.72
02/06/2023,NORTHWEST,Premium White,All weights,
02/06/2023,NORTHWEST,Breaker (75% lean),All weights,
02/06/2023,SOUTHWEST,Premium White,All weights,
02/06/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/06/2023,EASTERN AREA,Premium White,All weights,77.55
02/06/2023,EASTERN AREA,Breaker (75% lean),All weights,
02/03/2023,NORTHWEST,Premium White,All weights,
02/03/2023,NORTHWEST,Breaker (75% lean),All weights,
02/03/2023,SOUTHWEST,Premium White,All weights,
02/03/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/03/2023,EASTERN AREA,Premium White,All weights,77.25
02/03/2023,EASTERN AREA,Breaker (75% lean),All weights,80.07
02/02/2023,NORTHWEST,Premium White,All weights,
02/02/2023,NORTHWEST,Breaker (75% lean),All weights,
02/02/2023,SOUTHWEST,Premium White,All weights,
02/02/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/02/2023,EASTERN AREA,Premium White,All weights,74.82
02/02/2023,EASTERN AREA,Breaker (75% lean),All weights,72.12
02/01/2023,NORTHWEST,Premium White,All weights,
02/01/2023,NORTHWEST,Breaker (75% lean),All weights,
02/01/2023,SOUTHWEST,Premium White,All weights,
02/01/2023,SOUTHWEST,Breaker (75% lean),All weights,
02/01/2023,EASTERN AREA,Premium White,All weights,72.46
02/01/2023,EASTERN AREA,Breaker (75% lean),All weights,72.80
01/31/2023,NORTHWEST,Premium White,All weights,
01/31/2023,NORTHWEST,Breaker (75% lean),All weights,
01/31/2023,SOUTHWEST,Premium White,All weights,
01/31/2023,SOUTHWEST,Breaker (75% lean),All weights,83.70
01/31/2023,EASTERN AREA,Premium White,All weights,79.10
01/31/2023,EASTERN AREA,Breaker (75% lean),All weights,79.72
01/30/2023,NORTHWEST,Premium White,All weights,
01/30/2023,NORTHWEST,Breaker (75% lean),All weights,
01/30/2023,SOUTHWEST,Premium White,All weights,
01/30/2023,SOUTHWEST,Breaker (75% lean),All weights,84.03
01/30/2023,EASTERN AREA,Premium White,All weights,71.29
01/30/2023,EASTERN AREA,Breaker (75% lean),All weights,70.91
01/27/2023,NORTHWEST,Premium White,All weights,
01/27/2023,NORTHWEST,Breaker (75% lean),All weights,
01/27/2023,SOUTHWEST,Premium White,All weights,
01/27/2023,SOUTHWEST,Breaker (75% lean),All weights,74.81
01/27/2023,EASTERN AREA,Premium White,All weights,71.93
01/27/2023,EASTERN AREA,Breaker (75% lean),All weights,71.79
01/26/2023,NORTHWEST,Premium White,All weights,
01/26/2023,NORTHWEST,Breaker (75% lean),All weights,
01/26/2023,SOUTHWEST,Premium White,All weights,
01/26/2023,SOUTHWEST,Breaker (75% lean),All weights,80.04
01/26/2023,EASTERN AREA,Premium White,All weights,80.17
01/26/2023,EASTERN AREA,Breaker (75% lean),All weights,80.61
01/25/2023,NORTHWEST,Premium White,All weights,
01/25/2023,NORTHWEST,Breaker (75% lean),All weights,
01/25/2023,SOUTHWEST,Premium White,All weights,
01/25/2023,SOUTHWEST,Breaker (75% lean),All weights,80.14
01/25/2023,EASTERN AREA,Premium White,All weights,75.48
01/25/2023,EASTERN AREA,Breaker (75% lean),All weights,71.97
01/24/2023,NORTHWEST,Premium White,All weights,
01/24/2023,NORTHWEST,Breaker (75% lean),All weights,
01/24/2023,SOUTHWEST,Premium White,All weights,
01/24/2023,SOUTHWEST,Breaker (75% lean),All weights,82.08
01/24/2023,EASTERN AREA,Premium White,All weights,77.28
01/24/2023,EASTERN AREA,Breaker (75% lean),All weights,77.33
01/23/2023,NORTHWEST,Premium White,All weights,
01/23/2023,NORTHWEST,Breaker (75% lean),All weights,
01/23/2023,SOUTHWEST,Premium White,All weights,
01/23/2023,SOUTHWEST,Breaker (75% lean),All weights,81.60
01/23/2023,EASTERN AREA,Premium White,All weights,
01/23/2023,EASTERN AREA,Breaker (75% lean),All weights,
01/20/2023,NORTHWEST,Premium White,All weights,
01/20/2023,NORTHWEST,Breaker (75% lean),All weights,
01/20/2023,SOUTHWEST,Premium White,All weights,
01/20/2023,SOUTHWEST,Breaker (75% lean),All weights,
01/20/2023,EASTERN AREA,Premium White,All weights,70.18
01/20/2023,EASTERN AREA,Breaker (75% lean),All weights,70.31
01/19/2023,NORTHWEST,Premium White,All weights,
01/19/2023,NORTHWEST,Breaker (75% lean),All weights,
01/19/2023,SOUTHWEST,Premium White,All weights,
01/19/2023,SOUTHWEST,Breaker (75% lean),All weights,
01/19/2023,EASTERN AREA,Premium White,All weights,73.40
01/19/2023,EASTERN AREA,Breaker (75% lean),All weights,75.45
01/18/2023,NORTHWEST,Premium White,All weights,
01/18/2023,NORTHWEST,Breaker (75% lean),All weights,
01/18/2023,SOUTHWEST,Premium White,All weights,
01/18/2023,SOUTHWEST,Breaker (75% lean),All weights,
01/18/2023,EASTERN AREA,Premium White,All weights,70.22
01/18/2023,EASTERN AREA,Breaker (75% lean),All weights,74.89
01/17/2023,NORTHWEST,Premium White,All weights,
01/17/2023,NORTHWEST,Breaker (75% lean),All weights,
01/17/2023,SOUTHWEST,Premium White,All weights,
01/17/2023,SOUTHWEST,Breaker (75% lean),All weights,83.90
01/17/2023,EASTERN AREA,Premium White,All weights,80.46
01/17/2023,EASTERN AREA,Breaker (75% lean),All weights,
01/16/2023,NORTHWEST,Premium White,All weights,
01/16/2023,NORTHWEST,Breaker (75% lean),All weights,
01/16/2023,SOUTHWEST,Premium White,All weights,
01/16/2023,SOUTHWEST,Breaker (75% lean),All weights,
01/16/2023,EASTERN AREA,Premium White,All weights,74.50
01/16/2023,EASTERN AREA,Breaker (75% lean),All weights,79.47
01/13/2023,NORTHWEST,Premium White,All weights,
01/13/2023,NORTHWEST,Breaker (75% lean),All weights,
01/13/2023,SOUTHWEST,Premium White,All weights,
01/13/2023,SOUTHWEST,Breaker (75% lean),All weights,
01/13/2023,EASTERN AREA,Premium White,All weights,70.20
01/13/2023,EASTERN AREA,Breaker (75% lean),All weights,69.58
01/12/2023,NORTHWEST,Premium White,All weights,
01/12/2023,NORTHWEST,Breaker (75% lean),All weights,
01/12/2023,SOUTHWEST,Premium White,All weights,
01/12/2023,SOUTHWEST,Breaker (75% lean),All weights,72.80
01/12/2023,EASTERN AREA,Premium White,All weights,73.11
01/12/2023,EASTERN AREA,Breaker (75% lean),All weights,
01/11/2023,NORTHWEST,Premium White,All weights,
01/11/2023,NORTHWEST,Breaker (75% lean),All weights,
01/11/2023,SOUTHWEST,Premium White,All weights,
01/11/2023,SOUTHWEST,Breaker (75% lean),All weights,83.28
01/11/2023,EASTERN AREA,Premium White,All weights,
01/11/2023,EASTERN AREA,Breaker (75% lean),All weights,
01/10/2023,NORTHWEST,Premium White,All weights,
01/10/2023,NORTHWEST,Breaker (75% lean),All weights,
01/10/2023,SOUTHWEST,Premium White,All weights,
01/10/2023,SOUTHWEST,Breaker (75% lean),All weights,
01/10/2023,EASTERN AREA,Premium White,All weights,71.42
01/10/2023,EASTERN AREA,Breaker (75% lean),All weights,71.42
01/09/2023,NORTHWEST,Premium White,All weights,
01/09/2023,NORTHWEST,Breaker (75% lean),All weights,
01/09/2023,SOUTHWEST,Premium White,All weights,
01/09/2023,SOUTHWEST,Breaker (75% lean),All weights,81.53
01/09/2023,EASTERN AREA,Premium White,All weights,69.88
01/09/2023,EASTERN AREA,Breaker (75% lean),All weights,70.27
01/06/2023,NORTHWEST,Premium White,All weights,
01/06/2023,NORTHWEST,Breaker (75% lean),All weights,
01/06/2023,SOUTHWEST,Premium White,All weights,
01/06/2023,SOUTHWEST,Breaker (75% lean),All weights,79.95
01/06/2023,EASTERN AREA,Premium White,All weights,69.67
01/06/2023,EASTERN AREA,Breaker (75% lean),All weights,71.31
01/05/2023,NORTHWEST,Premium White,All weights,
01/05/2023,NORTHWEST,Breaker (75% lean),All weights,
01/05/2023,SOUTHWEST,Premium White,All weights,
01/05/2023,SOUTHWEST,Breaker (75% lean),All weights,79.48
01/05/2023,EASTERN AREA,Premium White,All weights,69.45
01/05/2023,EASTERN AREA,Breaker (75% lean),All weights,
01/04/2023,NORTHWEST,Premium White,All weights,
01/04/2023,NORTHWEST,Breaker (75% lean),All weights,
01/04/2023,SOUTHWEST,Premium White,All weights,
01/04/2023,SOUTHWEST,Breaker (75% lean),All weights,
01/04/2023,EASTERN AREA,Premium White,All weights,74.16
01/04/2023,EASTERN AREA,Breaker (75% lean),All weights,74.16
01/03/2023,NORTHWEST,Premium White,All weights,
01/03/2023,NORTHWEST,Breaker (75% lean),All weights,
01/03/2023,SOUTHWEST,Premium White,All weights,
01/03/2023,SOUTHWEST,Breaker (75% lean),All weights,83.52
01/03/2023,EASTERN AREA,Premium White,All weights,71.33
01/03/2023,EASTERN AREA,Breaker (75% lean),All weights,73.13
12/30/2022,NORTHWEST,Premium White,All weights,
12/30/2022,NORTHWEST,Breaker (75% lean),All weights,
12/30/2022,SOUTHWEST,Premium White,All weights,
12/30/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/30/2022,EASTERN AREA,Premium White,All weights,
12/30/2022,EASTERN AREA,Breaker (75% lean),All weights,
12/29/2022,NORTHWEST,Premium White,All weights,
12/29/2022,NORTHWEST,Breaker (75% lean),All weights,
12/29/2022,SOUTHWEST,Premium White,All weights,
12/29/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/29/2022,EASTERN AREA,Premium White,All weights,
12/29/2022,EASTERN AREA,Breaker (75% lean),All weights,
12/28/2022,NORTHWEST,Premium White,All weights,
12/28/2022,NORTHWEST,Breaker (75% lean),All weights,
12/28/2022,SOUTHWEST,Premium White,All weights,
12/28/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/28/2022,EASTERN AREA,Premium White,All weights,70.59
12/28/2022,EASTERN AREA,Breaker (75% lean),All weights,69.92
12/27/2022,NORTHWEST,Premium White,All weights,
12/27/2022,NORTHWEST,Breaker (75% lean),All weights,
12/27/2022,SOUTHWEST,Premium White,All weights,
12/27/2022,SOUTHWEST,Breaker (75% lean),All weights,78.03
12/27/2022,EASTERN AREA,Premium White,All weights,
12/27/2022,EASTERN AREA,Breaker (75% lean),All weights,67.33
12/23/2022,NORTHWEST,Premium White,All weights,
12/23/2022,NORTHWEST,Breaker (75% lean),All weights,
12/23/2022,SOUTHWEST,Premium White,All weights,
12/23/2022,SOUTHWEST,Breaker (75% lean),All weights,74.84
12/23/2022,EASTERN AREA,Premium White,All weights,
12/23/2022,EASTERN AREA,Breaker (75% lean),All weights,67.41
12/22/2022,NORTHWEST,Premium White,All weights,
12/22/2022,NORTHWEST,Breaker (75% lean),All weights,
12/22/2022,SOUTHWEST,Premium White,All weights,
12/22/2022,SOUTHWEST,Breaker (75% lean),All weights,75.21
12/22/2022,EASTERN AREA,Premium White,All weights,74.51
12/22/2022,EASTERN AREA,Breaker (75% lean),All weights,72.13
12/21/2022,NORTHWEST,Premium White,All weights,
12/21/2022,NORTHWEST,Breaker (75% lean),All weights,
12/21/2022,SOUTHWEST,Premium White,All weights,
12/21/2022,SOUTHWEST,Breaker (75% lean),All weights,77.05
12/21/2022,EASTERN AREA,Premium White,All weights,
12/21/2022,EASTERN AREA,Breaker (75% lean),All weights,67.74
12/20/2022,NORTHWEST,Premium White,All weights,
12/20/2022,NORTHWEST,Breaker (75% lean),All weights,
12/20/2022,SOUTHWEST,Premium White,All weights,
12/20/2022,SOUTHWEST,Breaker (75% lean),All weights,77.67
12/20/2022,EASTERN AREA,Premium White,All weights,70.06
12/20/2022,EASTERN AREA,Breaker (75% lean),All weights,70.06
12/19/2022,NORTHWEST,Premium White,All weights,
12/19/2022,NORTHWEST,Breaker (75% lean),All weights,
12/19/2022,SOUTHWEST,Premium White,All weights,
12/19/2022,SOUTHWEST,Breaker (75% lean),All weights,73.96
12/19/2022,EASTERN AREA,Premium White,All weights,77.00
12/19/2022,EASTERN AREA,Breaker (75% lean),All weights,77.00
12/16/2022,NORTHWEST,Premium White,All weights,
12/16/2022,NORTHWEST,Breaker (75% lean),All weights,
12/16/2022,SOUTHWEST,Premium White,All weights,
12/16/2022,SOUTHWEST,Breaker (75% lean),All weights,75.24
12/16/2022,EASTERN AREA,Premium White,All weights,71.22
12/16/2022,EASTERN AREA,Breaker (75% lean),All weights,72.05
12/15/2022,NORTHWEST,Premium White,All weights,
12/15/2022,NORTHWEST,Breaker (75% lean),All weights,
12/15/2022,SOUTHWEST,Premium White,All weights,
12/15/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/15/2022,EASTERN AREA,Premium White,All weights,70.29
12/15/2022,EASTERN AREA,Breaker (75% lean),All weights,68.30
12/14/2022,NORTHWEST,Premium White,All weights,
12/14/2022,NORTHWEST,Breaker (75% lean),All weights,
12/14/2022,SOUTHWEST,Premium White,All weights,
12/14/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/14/2022,EASTERN AREA,Premium White,All weights,74.51
12/14/2022,EASTERN AREA,Breaker (75% lean),All weights,67.32
12/13/2022,NORTHWEST,Premium White,All weights,
12/13/2022,NORTHWEST,Breaker (75% lean),All weights,
12/13/2022,SOUTHWEST,Premium White,All weights,
12/13/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/13/2022,EASTERN AREA,Premium White,All weights,77.53
12/13/2022,EASTERN AREA,Breaker (75% lean),All weights,
12/12/2022,NORTHWEST,Premium White,All weights,
12/12/2022,NORTHWEST,Breaker (75% lean),All weights,
12/12/2022,SOUTHWEST,Premium White,All weights,
12/12/2022,SOUTHWEST,Breaker (75% lean),All weights,73.86
12/12/2022,EASTERN AREA,Premium White,All weights,
12/12/2022,EASTERN AREA,Breaker (75% lean),All weights,
12/09/2022,NORTHWEST,Premium White,All weights,
12/09/2022,NORTHWEST,Breaker (75% lean),All weights,
12/09/2022,SOUTHWEST,Premium White,All weights,
12/09/2022,SOUTHWEST,Breaker (75% lean),All weights,77.53
12/09/2022,EASTERN AREA,Premium White,All weights,78.04
12/09/2022,EASTERN AREA,Breaker (75% lean),All weights,74.92
12/08/2022,NORTHWEST,Premium White,All weights,
12/08/2022,NORTHWEST,Breaker (75% lean),All weights,
12/08/2022,SOUTHWEST,Premium White,All weights,
12/08/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/08/2022,EASTERN AREA,Premium White,All weights,80.29
12/08/2022,EASTERN AREA,Breaker (75% lean),All weights,80.29
12/07/2022,NORTHWEST,Premium White,All weights,
12/07/2022,NORTHWEST,Breaker (75% lean),All weights,
12/07/2022,SOUTHWEST,Premium White,All weights,
12/07/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/07/2022,EASTERN AREA,Premium White,All weights,79.58
12/07/2022,EASTERN AREA,Breaker (75% lean),All weights,84.50
12/06/2022,NORTHWEST,Premium White,All weights,
12/06/2022,NORTHWEST,Breaker (75% lean),All weights,
12/06/2022,SOUTHWEST,Premium White,All weights,
12/06/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/06/2022,EASTERN AREA,Premium White,All weights,76.37
12/06/2022,EASTERN AREA,Breaker (75% lean),All weights,75.13
12/05/2022,NORTHWEST,Premium White,All weights,
12/05/2022,NORTHWEST,Breaker (75% lean),All weights,73.16
12/05/2022,SOUTHWEST,Premium White,All weights,
12/05/2022,SOUTHWEST,Breaker (75% lean),All weights,74.82
12/05/2022,EASTERN AREA,Premium White,All weights,75.00
12/05/2022,EASTERN AREA,Breaker (75% lean),All weights,75.00
12/02/2022,NORTHWEST,Premium White,All weights,
12/02/2022,NORTHWEST,Breaker (75% lean),All weights,
12/02/2022,SOUTHWEST,Premium White,All weights,
12/02/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/02/2022,EASTERN AREA,Premium White,All weights,76.62
12/02/2022,EASTERN AREA,Breaker (75% lean),All weights,75.59
12/01/2022,NORTHWEST,Premium White,All weights,
12/01/2022,NORTHWEST,Breaker (75% lean),All weights,
12/01/2022,SOUTHWEST,Premium White,All weights,
12/01/2022,SOUTHWEST,Breaker (75% lean),All weights,
12/01/2022,EASTERN AREA,Premium White,All weights,78.86
12/01/2022,EASTERN AREA,Breaker (75% lean),All weights,78.87
11/30/2022,NORTHWEST,Premium White,All weights,
11/30/2022,NORTHWEST,Breaker (75% lean),All weights,
11/30/2022,SOUTHWEST,Premium White,All weights,
11/30/2022,SOUTHWEST,Breaker (75% lean),All weights,77.25
11/30/2022,EASTERN AREA,Premium White,All weights,78.39
11/30/2022,EASTERN AREA,Breaker (75% lean),All weights,78.51
11/29/2022,NORTHWEST,Premium White,All weights,
11/29/2022,NORTHWEST,Breaker (75% lean),All weights,
11/29/2022,SOUTHWEST,Premium White,All weights,
11/29/2022,SOUTHWEST,Breaker (75% lean),All weights,72.47
11/29/2022,EASTERN AREA,Premium White,All weights,76.16
11/29/2022,EASTERN AREA,Breaker (75% lean),All weights,75.90
11/28/2022,NORTHWEST,Premium White,All weights,
11/28/2022,NORTHWEST,Breaker (75% lean),All weights,
11/28/2022,SOUTHWEST,Premium White,All weights,73.00
11/28/2022,SOUTHWEST,Breaker (75% lean),All weights,
11/28/2022,EASTERN AREA,Premium White,All weights,76.92
11/28/2022,EASTERN AREA,Breaker (75% lean),All weights,74.18
11/25/2022,NORTHWEST,Premium White,All weights,
11/25/2022,NORTHWEST,Breaker (75% lean),All weights,
11/25/2022,SOUTHWEST,Premium White,All weights,
11/25/2022,SOUTHWEST,Breaker (75% lean),All weights,
11/25/2022,EASTERN AREA,Premium White,All weights,75.07
11/25/2022,EASTERN AREA,Breaker (75% lean),All weights,73.68
11/23/2022,NORTHWEST,Premium White,All weights,
11/23/2022,NORTHWEST,Breaker (75% lean),All weights,
11/23/2022,SOUTHWEST,Premium White,All weights,
11/23/2022,SOUTHWEST,Breaker (75% lean),All weights,
11/23/2022,EASTERN AREA,Premium White,All weights,76.50
11/23/2022,EASTERN AREA,Breaker (75% lean),All weights,
11/22/2022,NORTHWEST,Premium White,All weights,
11/22/2022,NORTHWEST,Breaker (75% lean),All weights,
11/22/2022,SOUTHWEST,Premium White,All weights,
11/22/2022,SOUTHWEST,Breaker (75% lean),All weights,75.35
11/22/2022,EASTERN AREA,Premium White,All weights,76.84
11/22/2022,EASTERN AREA,Breaker (75% lean),All weights,77.83
11/21/2022,NORTHWEST,Premium White,All weights,
11/21/2022,NORTHWEST,Breaker (75% lean),All weights,
11/21/2022,SOUTHWEST,Premium White,All weights,
11/21/2022,SOUTHWEST,Breaker (75% lean),All weights,
11/21/2022,EASTERN AREA,Premium White,All weights,
11/21/2022,EASTERN AREA,Breaker (75% lean),All weights,
11/18/2022,NORTHWEST,Premium White,All weights,
11/18/2022,NORTHWEST,Breaker (75% lean),All weights,
11/18/2022,SOUTHWEST,Premium White,All weights,
11/18/2022,SOUTHWEST,Breaker (75% lean),All weights,75.60
11/18/2022,EASTERN AREA,Premium White,All weights,76.25
11/18/2022,EASTERN AREA,Breaker (75% lean),All weights,76.33
11/17/2022,NORTHWEST,Premium White,All weights,
11/17/2022,NORTHWEST,Breaker (75% lean),All weights,
11/17/2022,SOUTHWEST,Premium White,All weights,
11/17/2022,SOUTHWEST,Breaker (75% lean),All weights,
11/17/2022,EASTERN AREA,Premium White,All weights,82.86
11/17/2022,EASTERN AREA,Breaker (75% lean),All weights,78.14
11/16/2022,NORTHWEST,Premium White,All weights,
11/16/2022,NORTHWEST,Breaker (75% lean),All weights,
11/16/2022,SOUTHWEST,Premium White,All weights,
11/16/2022,SOUTHWEST,Breaker (75% lean),All weights,
11/16/2022,EASTERN AREA,Premium White,All weights,73.36
11/16/2022,EASTERN AREA,Breaker (75% lean),All weights,73.55
11/15/2022,NORTHWEST,Premium White,All weights,
11/15/2022,NORTHWEST,Breaker (75% lean),All weights,
11/15/2022,SOUTHWEST,Premium White,All weights,
11/15/2022,SOUTHWEST,Breaker (75% lean),All weights,74.89
11/15/2022,EASTERN AREA,Premium White,All weights,78.10
11/15/2022,EASTERN AREA,Breaker (75% lean),All weights,78.04
11/14/2022,NORTHWEST,Premium White,All weights,
11/14/2022,NORTHWEST,Breaker (75% lean),All weights,
11/14/2022,SOUTHWEST,Premium White,All weights,
11/14/2022,SOUTHWEST,Breaker (75% lean),All weights,77.18
11/14/2022,EASTERN AREA,Premium White,All weights,75.78
11/14/2022,EASTERN AREA,Breaker (75% lean),All weights,74.85
11/11/2022,NORTHWEST,Premium White,All weights,
11/11/2022,NORTHWEST,Breaker (75% lean),All weights,
11/11/2022,SOUTHWEST,Premium White,All weights,
11/11/2022,SOUTHWEST,Breaker (75% lean),All weights,76.73
11/11/2022,EASTERN AREA,Premium White,All weights,75.83
11/11/2022,EASTERN AREA,Breaker (75% lean),All weights,75.98
11/10/2022,NORTHWEST,Premium White,All weights,
11/10/2022,NORTHWEST,Breaker (75% lean),All weights,
11/10/2022,SOUTHWEST,Premium White,All weights,
11/10/2022,SOUTHWEST,Breaker (75% lean),All weights,77.04
11/10/2022,EASTERN AREA,Premium White,All weights,73.13
11/10/2022,EASTERN AREA,Breaker (75% lean),All weights,72.01
11/09/2022,NORTHWEST,Premium White,All weights,
11/09/2022,NORTHWEST,Breaker (75% lean),All weights,
11/09/2022,SOUTHWEST,Premium White,All weights,
