Report Date,Region Name,Grade,Weight Range,Live Head Count,Live Wtd Avg Price
03/06/2023,SOUTHWEST,Premium White,All weights,,
03/06/2023,SOUTHWEST,Breaker (75% lean),All weights,5,98.05
03/06/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,128,97.75
03/06/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/06/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,50,93.67
03/06/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/06/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,1,98.05
03/03/2023,SOUTHWEST,Premium White,All weights,,
03/03/2023,SOUTHWEST,Breaker (75% lean),All weights,,
03/03/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
03/03/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/03/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,2,82.88
03/03/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/03/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
03/02/2023,SOUTHWEST,Premium White,All weights,,
03/02/2023,SOUTHWEST,Breaker (75% lean),All weights,,
03/02/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,1,65.00
03/02/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/02/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,3,70.58
03/02/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/02/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
03/01/2023,SOUTHWEST,Premium White,All weights,,
03/01/2023,SOUTHWEST,Breaker (75% lean),All weights,,
03/01/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
03/01/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
03/01/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,17,80.50
03/01/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
03/01/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,5,106.88
02/28/2023,SOUTHWEST,Premium White,All weights,,
02/28/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/28/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
02/28/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/28/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,1,89.00
02/28/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/28/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/27/2023,SOUTHWEST,Premium White,All weights,,
02/27/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/27/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,6,85.48
02/27/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/27/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,20,84.98
02/27/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/27/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,24,112.38
02/24/2023,SOUTHWEST,Premium White,All weights,,
02/24/2023,SOUTHWEST,Breaker (75% lean),All weights,7,93.65
02/24/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,1,76.50
02/24/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/24/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,3,64.87
02/24/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/24/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/23/2023,SOUTHWEST,Premium White,All weights,,
02/23/2023,SOUTHWEST,Breaker (75% lean),All weights,13,90.88
02/23/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,3,80.08
02/23/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/23/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,122,88.61
02/23/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/23/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/22/2023,SOUTHWEST,Premium White,All weights,,
02/22/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/22/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
02/22/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/22/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,2,81.82
02/22/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/22/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/21/2023,SOUTHWEST,Premium White,All weights,,
02/21/2023,SOUTHWEST,Breaker (75% lean),All weights,7,86.46
02/21/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,42,86.26
02/21/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/21/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,27,86.14
02/21/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/21/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/20/2023,SOUTHWEST,Premium White,All weights,,
02/20/2023,SOUTHWEST,Breaker (75% lean),All weights,5,90.82
02/20/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,50,91.23
02/20/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/20/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,85,90.29
02/20/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/20/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/17/2023,SOUTHWEST,Premium White,All weights,,
02/17/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/17/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,75,81.06
02/17/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/17/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,35,81.06
02/17/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/17/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/16/2023,SOUTHWEST,Premium White,All weights,,
02/16/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/16/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,21,86.72
02/16/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/16/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,122,85.81
02/16/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/16/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,3,89.35
02/15/2023,SOUTHWEST,Premium White,All weights,,
02/15/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/15/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,1,88.00
02/15/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/15/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,17,83.15
02/15/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/15/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/14/2023,SOUTHWEST,Premium White,All weights,,
02/14/2023,SOUTHWEST,Breaker (75% lean),All weights,1,86.79
02/14/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,7,86.82
02/14/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/14/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,30,86.79
02/14/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/14/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/13/2023,SOUTHWEST,Premium White,All weights,,
02/13/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/13/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,20,97.49
02/13/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/13/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,36,97.41
02/13/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/13/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/10/2023,SOUTHWEST,Premium White,All weights,,
02/10/2023,SOUTHWEST,Breaker (75% lean),All weights,1,85.99
02/10/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,13,85.99
02/10/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/10/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,68,117.00
02/10/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/10/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/09/2023,SOUTHWEST,Premium White,All weights,,
02/09/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/09/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,9,83.30
02/09/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/09/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,98,84.47
02/09/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/09/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/08/2023,SOUTHWEST,Premium White,All weights,,
02/08/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/08/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
02/08/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/08/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,,
02/08/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/08/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/07/2023,SOUTHWEST,Premium White,All weights,,
02/07/2023,SOUTHWEST,Breaker (75% lean),All weights,10,84.60
02/07/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,65,84.36
02/07/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/07/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,15,83.81
02/07/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/07/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,6,90.90
02/06/2023,SOUTHWEST,Premium White,All weights,,
02/06/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/06/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,4,81.30
02/06/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/06/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,17,77.41
02/06/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/06/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/03/2023,SOUTHWEST,Premium White,All weights,,
02/03/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/03/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,1,81.00
02/03/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/03/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,,
02/03/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/03/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/02/2023,SOUTHWEST,Premium White,All weights,,
02/02/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/02/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,23,81.28
02/02/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/02/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,59,79.78
02/02/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/02/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
02/01/2023,SOUTHWEST,Premium White,All weights,,
02/01/2023,SOUTHWEST,Breaker (75% lean),All weights,,
02/01/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
02/01/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
02/01/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,,
02/01/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
02/01/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/31/2023,SOUTHWEST,Premium White,All weights,,
01/31/2023,SOUTHWEST,Breaker (75% lean),All weights,61,83.70
01/31/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,238,83.51
01/31/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/31/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,49,82.95
01/31/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/31/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/30/2023,SOUTHWEST,Premium White,All weights,,
01/30/2023,SOUTHWEST,Breaker (75% lean),All weights,26,84.03
01/30/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,160,83.90
01/30/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/30/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,94,81.99
01/30/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/30/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/27/2023,SOUTHWEST,Premium White,All weights,,
01/27/2023,SOUTHWEST,Breaker (75% lean),All weights,18,74.81
01/27/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,208,76.53
01/27/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/27/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,134,76.29
01/27/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/27/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/26/2023,SOUTHWEST,Premium White,All weights,,
01/26/2023,SOUTHWEST,Breaker (75% lean),All weights,6,80.04
01/26/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,184,79.13
01/26/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/26/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,183,78.33
01/26/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/26/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/25/2023,SOUTHWEST,Premium White,All weights,,
01/25/2023,SOUTHWEST,Breaker (75% lean),All weights,1,80.14
01/25/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,107,66.89
01/25/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/25/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,139,68.74
01/25/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/25/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/24/2023,SOUTHWEST,Premium White,All weights,,
01/24/2023,SOUTHWEST,Breaker (75% lean),All weights,8,82.08
01/24/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,299,82.44
01/24/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/24/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,192,81.04
01/24/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/24/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/23/2023,SOUTHWEST,Premium White,All weights,,
01/23/2023,SOUTHWEST,Breaker (75% lean),All weights,11,81.60
01/23/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,131,81.60
01/23/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/23/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,82,81.20
01/23/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/23/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/20/2023,SOUTHWEST,Premium White,All weights,,
01/20/2023,SOUTHWEST,Breaker (75% lean),All weights,,
01/20/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,,
01/20/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/20/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,,
01/20/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/20/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/19/2023,SOUTHWEST,Premium White,All weights,,
01/19/2023,SOUTHWEST,Breaker (75% lean),All weights,,
01/19/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,10,77.61
01/19/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/19/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,160,94.87
01/19/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/19/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,1,89.52
01/18/2023,SOUTHWEST,Premium White,All weights,,
01/18/2023,SOUTHWEST,Breaker (75% lean),All weights,,
01/18/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,3,73.97
01/18/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/18/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,17,70.97
01/18/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/18/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/17/2023,SOUTHWEST,Premium White,All weights,,
01/17/2023,SOUTHWEST,Breaker (75% lean),All weights,32,83.90
01/17/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,266,83.21
01/17/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/17/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,127,83.04
01/17/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/17/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/16/2023,SOUTHWEST,Premium White,All weights,,
01/16/2023,SOUTHWEST,Breaker (75% lean),All weights,,
01/16/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,20,77.59
01/16/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/16/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,23,77.59
01/16/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/16/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/13/2023,SOUTHWEST,Premium White,All weights,,
01/13/2023,SOUTHWEST,Breaker (75% lean),All weights,,
01/13/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,9,72.40
01/13/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/13/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,16,70.18
01/13/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/13/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/12/2023,SOUTHWEST,Premium White,All weights,,
01/12/2023,SOUTHWEST,Breaker (75% lean),All weights,1,72.80
01/12/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,17,70.69
01/12/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/12/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,194,73.06
01/12/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/12/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/11/2023,SOUTHWEST,Premium White,All weights,,
01/11/2023,SOUTHWEST,Breaker (75% lean),All weights,2,83.28
01/11/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,55,74.71
01/11/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/11/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,73,67.31
01/11/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/11/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/10/2023,SOUTHWEST,Premium White,All weights,,
01/10/2023,SOUTHWEST,Breaker (75% lean),All weights,,
01/10/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,63,81.74
01/10/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/10/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,235,81.78
01/10/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/10/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/09/2023,SOUTHWEST,Premium White,All weights,,
01/09/2023,SOUTHWEST,Breaker (75% lean),All weights,4,81.53
01/09/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,153,81.65
01/09/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/09/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,46,78.12
01/09/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/09/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/06/2023,SOUTHWEST,Premium White,All weights,,
01/06/2023,SOUTHWEST,Breaker (75% lean),All weights,3,79.95
01/06/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,90,79.96
01/06/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/06/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,126,77.79
01/06/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/06/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/05/2023,SOUTHWEST,Premium White,All weights,,
01/05/2023,SOUTHWEST,Breaker (75% lean),All weights,8,79.48
01/05/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,277,79.53
01/05/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/05/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,259,79.47
01/05/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/05/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/04/2023,SOUTHWEST,Premium White,All weights,,
01/04/2023,SOUTHWEST,Breaker (75% lean),All weights,,
01/04/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,78,85.69
01/04/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/04/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,,
01/04/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/04/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
01/03/2023,SOUTHWEST,Premium White,All weights,,
01/03/2023,SOUTHWEST,Breaker (75% lean),All weights,13,83.52
01/03/2023,SOUTHWEST,Boner (85% lean),500 lbs and up,467,83.33
01/03/2023,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
01/03/2023,SOUTHWEST,Cutter (90% lean),500 lbs and up,11,65.38
01/03/2023,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
01/03/2023,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/30/2022,SOUTHWEST,Premium White,All weights,,
12/30/2022,SOUTHWEST,Breaker (75% lean),All weights,,
12/30/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,70,81.47
12/30/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/30/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,,
12/30/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/30/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/29/2022,SOUTHWEST,Premium White,All weights,,
12/29/2022,SOUTHWEST,Breaker (75% lean),All weights,,
12/29/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,196,82.00
12/29/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/29/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,41,77.66
12/29/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/29/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/28/2022,SOUTHWEST,Premium White,All weights,,
12/28/2022,SOUTHWEST,Breaker (75% lean),All weights,,
12/28/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,,
12/28/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/28/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,,
12/28/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/28/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/27/2022,SOUTHWEST,Premium White,All weights,,
12/27/2022,SOUTHWEST,Breaker (75% lean),All weights,2,78.03
12/27/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,221,79.11
12/27/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/27/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,176,78.78
12/27/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/27/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/23/2022,SOUTHWEST,Premium White,All weights,,
12/23/2022,SOUTHWEST,Breaker (75% lean),All weights,1,74.84
12/23/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,127,80.25
12/23/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/23/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,24,74.88
12/23/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/23/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/22/2022,SOUTHWEST,Premium White,All weights,,
12/22/2022,SOUTHWEST,Breaker (75% lean),All weights,16,75.21
12/22/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,169,75.74
12/22/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/22/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,46,75.63
12/22/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/22/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/21/2022,SOUTHWEST,Premium White,All weights,,
12/21/2022,SOUTHWEST,Breaker (75% lean),All weights,6,77.05
12/21/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,91,77.74
12/21/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/21/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,76,77.24
12/21/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/21/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/20/2022,SOUTHWEST,Premium White,All weights,,
12/20/2022,SOUTHWEST,Breaker (75% lean),All weights,12,77.67
12/20/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,236,77.51
12/20/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/20/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,49,76.48
12/20/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/20/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/19/2022,SOUTHWEST,Premium White,All weights,,
12/19/2022,SOUTHWEST,Breaker (75% lean),All weights,2,73.96
12/19/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,9,73.96
12/19/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/19/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,10,73.96
12/19/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/19/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/16/2022,SOUTHWEST,Premium White,All weights,,
12/16/2022,SOUTHWEST,Breaker (75% lean),All weights,2,75.24
12/16/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,13,75.19
12/16/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/16/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,27,75.27
12/16/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/16/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/15/2022,SOUTHWEST,Premium White,All weights,,
12/15/2022,SOUTHWEST,Breaker (75% lean),All weights,,
12/15/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,10,73.42
12/15/2022,SOUTHWEST,Boner (85% lean),Under 500 lbs,,
12/15/2022,SOUTHWEST,Cutter (90% lean),500 lbs and up,56,58.13
12/15/2022,SOUTHWEST,Cutter (90% lean),Under 500 lbs,,
12/15/2022,SOUTHWEST,Bull (92% lean),600 lbs and up,,
12/14/2022,SOUTHWEST,Premium White,All weights,,
12/14/2022,SOUTHWEST,Breaker (75% lean),All weights,,
12/14/2022,SOUTHWEST,Boner (85% lean),500 lbs and up,7,74.25
