Report Date,Class Description,Selling Basis,Grade Description,Previous Month Confirmed,Average Weight,Weighted Avg Price
02/08/2023,STEER,LIVE FOB,Over 80% Choice,"1,274","1,354",155.77
02/08/2023,STEER,LIVE FOB,65 - 80% Choice,"7,069","1,358",156.05
02/08/2023,STEER,LIVE FOB,35 - 65% Choice,"3,361","1,260",156.18
02/08/2023,STEER,LIVE FOB, 0 - 35% Choice,,,
02/08/2023,STEER,LIVE FOB,Total all grades,"11,704","1,330",156.05
02/08/2023,STEER,LIVE DELIVERED,Over 80% Choice,,,
02/08/2023,STEER,LIVE DELIVERED,65 - 80% Choice,,,
02/08/2023,STEER,LIVE DELIVERED,35 - 65% Choice,,,
02/08/2023,STEER,LIVE DELIVERED, 0 - 35% Choice,,,
02/08/2023,STEER,LIVE DELIVERED,Total all grades,,,
02/08/2023,STEER,DRESSED DELIVERED,Over 80% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED,65 - 80% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED,35 - 65% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED, 0 - 35% Choice,,,
02/08/2023,STEER,DRESSED DELIVERED,Total all grades,,,
02/08/2023,STEER,DRESSED FOB,Over 80% Choice,,,
02/08/2023,STEER,DRESSED FOB,65 - 80% Choice,,,
02/08/2023,STEER,DRESSED FOB,35 - 65% Choice,,,
02/08/2023,STEER,DRESSED FOB, 0 - 35% Choice,,,
02/08/2023,STEER,DRESSED FOB,Total all grades,,,
02/08/2023,HEIFER,LIVE FOB,Over 80% Choice,"3,113","1,243",156.45
02/08/2023,HEIFER,LIVE FOB,65 - 80% Choice,"3,804","1,253",155.91
02/08/2023,HEIFER,LIVE FOB,35 - 65% Choice,24,"1,325",156.00
02/08/2023,HEIFER,LIVE FOB, 0 - 35% Choice,,,
02/08/2023,HEIFER,LIVE FOB,Total all grades,"6,941","1,249",156.15
02/08/2023,HEIFER,LIVE DELIVERED,Over 80% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
02/08/2023,HEIFER,LIVE DELIVERED,Total all grades,,,
02/08/2023,HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
02/08/2023,HEIFER,DRESSED DELIVERED,Total all grades,,,
02/08/2023,HEIFER,DRESSED FOB,Over 80% Choice,,,
02/08/2023,HEIFER,DRESSED FOB,65 - 80% Choice,,,
02/08/2023,HEIFER,DRESSED FOB,35 - 65% Choice,,,
02/08/2023,HEIFER,DRESSED FOB, 0 - 35% Choice,,,
02/08/2023,HEIFER,DRESSED FOB,Total all grades,,,
02/08/2023,MIXED STEER/HEIFER,LIVE FOB,Over 80% Choice,486,"1,270",156.26
02/08/2023,MIXED STEER/HEIFER,LIVE FOB,65 - 80% Choice,"2,540","1,260",156.17
02/08/2023,MIXED STEER/HEIFER,LIVE FOB,35 - 65% Choice,305,"1,282",155.46
02/08/2023,MIXED STEER/HEIFER,LIVE FOB, 0 - 35% Choice,,,
02/08/2023,MIXED STEER/HEIFER,LIVE FOB,Total all grades,"3,331","1,263",156.12
02/08/2023,MIXED STEER/HEIFER,LIVE DELIVERED,Over 80% Choice,,,
02/08/2023,MIXED STEER/HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
02/08/2023,MIXED STEER/HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
02/08/2023,MIXED STEER/HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
02/08/2023,MIXED STEER/HEIFER,LIVE DELIVERED,Total all grades,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,Total all grades,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED FOB,Over 80% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED FOB,65 - 80% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED FOB,35 - 65% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED FOB, 0 - 35% Choice,,,
02/08/2023,MIXED STEER/HEIFER,DRESSED FOB,Total all grades,,,
02/08/2023,ALL BEEF TYPE,LIVE FOB,Total all grades,"21,976","1,294",156.10
02/08/2023,ALL BEEF TYPE,LIVE DELIVERED,Total all grades,,,
02/08/2023,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,,
02/08/2023,ALL BEEF TYPE,DRESSED FOB,Total all grades,,,
01/06/2023,STEER,LIVE FOB,Over 80% Choice,"1,316","1,363",155.37
01/06/2023,STEER,LIVE FOB,65 - 80% Choice,"7,929","1,343",155.31
01/06/2023,STEER,LIVE FOB,35 - 65% Choice,"3,875","1,288",155.42
01/06/2023,STEER,LIVE FOB, 0 - 35% Choice,,,
01/06/2023,STEER,LIVE FOB,Total all grades,"13,120","1,329",155.35
01/06/2023,STEER,LIVE DELIVERED,Over 80% Choice,,,
01/06/2023,STEER,LIVE DELIVERED,65 - 80% Choice,,,
01/06/2023,STEER,LIVE DELIVERED,35 - 65% Choice,,,
01/06/2023,STEER,LIVE DELIVERED, 0 - 35% Choice,,,
01/06/2023,STEER,LIVE DELIVERED,Total all grades,,,
01/06/2023,STEER,DRESSED DELIVERED,Over 80% Choice,,,
01/06/2023,STEER,DRESSED DELIVERED,65 - 80% Choice,,,
01/06/2023,STEER,DRESSED DELIVERED,35 - 65% Choice,,,
01/06/2023,STEER,DRESSED DELIVERED, 0 - 35% Choice,,,
01/06/2023,STEER,DRESSED DELIVERED,Total all grades,,,
01/06/2023,STEER,DRESSED FOB,Over 80% Choice,,,
01/06/2023,STEER,DRESSED FOB,65 - 80% Choice,,,
01/06/2023,STEER,DRESSED FOB,35 - 65% Choice,,,
01/06/2023,STEER,DRESSED FOB, 0 - 35% Choice,,,
01/06/2023,STEER,DRESSED FOB,Total all grades,,,
01/06/2023,HEIFER,LIVE FOB,Over 80% Choice,"2,959","1,222",155.10
01/06/2023,HEIFER,LIVE FOB,65 - 80% Choice,"3,938","1,226",155.60
01/06/2023,HEIFER,LIVE FOB,35 - 65% Choice,894,"1,210",155.42
01/06/2023,HEIFER,LIVE FOB, 0 - 35% Choice,,,
01/06/2023,HEIFER,LIVE FOB,Total all grades,"7,791","1,223",155.39
01/06/2023,HEIFER,LIVE DELIVERED,Over 80% Choice,,,
01/06/2023,HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
01/06/2023,HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
01/06/2023,HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
01/06/2023,HEIFER,LIVE DELIVERED,Total all grades,,,
01/06/2023,HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
01/06/2023,HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
01/06/2023,HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
01/06/2023,HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
01/06/2023,HEIFER,DRESSED DELIVERED,Total all grades,,,
01/06/2023,HEIFER,DRESSED FOB,Over 80% Choice,,,
01/06/2023,HEIFER,DRESSED FOB,65 - 80% Choice,,,
01/06/2023,HEIFER,DRESSED FOB,35 - 65% Choice,,,
01/06/2023,HEIFER,DRESSED FOB, 0 - 35% Choice,,,
01/06/2023,HEIFER,DRESSED FOB,Total all grades,,,
01/06/2023,MIXED STEER/HEIFER,LIVE FOB,Over 80% Choice,317,"1,253",155.54
01/06/2023,MIXED STEER/HEIFER,LIVE FOB,65 - 80% Choice,"2,534","1,281",155.67
01/06/2023,MIXED STEER/HEIFER,LIVE FOB,35 - 65% Choice,"1,089","1,290",154.74
01/06/2023,MIXED STEER/HEIFER,LIVE FOB, 0 - 35% Choice,,,
01/06/2023,MIXED STEER/HEIFER,LIVE FOB,Total all grades,"3,940","1,281",155.40
01/06/2023,MIXED STEER/HEIFER,LIVE DELIVERED,Over 80% Choice,,,
01/06/2023,MIXED STEER/HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
01/06/2023,MIXED STEER/HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
01/06/2023,MIXED STEER/HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
01/06/2023,MIXED STEER/HEIFER,LIVE DELIVERED,Total all grades,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED DELIVERED,Total all grades,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED FOB,Over 80% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED FOB,65 - 80% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED FOB,35 - 65% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED FOB, 0 - 35% Choice,,,
01/06/2023,MIXED STEER/HEIFER,DRESSED FOB,Total all grades,,,
01/06/2023,ALL BEEF TYPE,LIVE FOB,Total all grades,"24,851","1,288",155.37
01/06/2023,ALL BEEF TYPE,LIVE DELIVERED,Total all grades,,,
01/06/2023,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,,
01/06/2023,ALL BEEF TYPE,DRESSED FOB,Total all grades,,,
12/08/2022,STEER,LIVE FOB,Over 80% Choice,"2,522","1,358",151.86
12/08/2022,STEER,LIVE FOB,65 - 80% Choice,"12,495","1,379",152.01
12/08/2022,STEER,LIVE FOB,35 - 65% Choice,"7,571","1,300",151.22
12/08/2022,STEER,LIVE FOB, 0 - 35% Choice,,,
12/08/2022,STEER,LIVE FOB,Total all grades,"22,588","1,350",151.73
12/08/2022,STEER,LIVE DELIVERED,Over 80% Choice,,,
12/08/2022,STEER,LIVE DELIVERED,65 - 80% Choice,66,"1,365",150.00
12/08/2022,STEER,LIVE DELIVERED,35 - 65% Choice,129,"1,360",150.00
12/08/2022,STEER,LIVE DELIVERED, 0 - 35% Choice,,,
12/08/2022,STEER,LIVE DELIVERED,Total all grades,195,"1,362",150.00
12/08/2022,STEER,DRESSED DELIVERED,Over 80% Choice,,,
12/08/2022,STEER,DRESSED DELIVERED,65 - 80% Choice,,,
12/08/2022,STEER,DRESSED DELIVERED,35 - 65% Choice,,,
12/08/2022,STEER,DRESSED DELIVERED, 0 - 35% Choice,,,
12/08/2022,STEER,DRESSED DELIVERED,Total all grades,,,
12/08/2022,STEER,DRESSED FOB,Over 80% Choice,,,
12/08/2022,STEER,DRESSED FOB,65 - 80% Choice,,,
12/08/2022,STEER,DRESSED FOB,35 - 65% Choice,,,
12/08/2022,STEER,DRESSED FOB, 0 - 35% Choice,,,
12/08/2022,STEER,DRESSED FOB,Total all grades,,,
12/08/2022,HEIFER,LIVE FOB,Over 80% Choice,"2,267","1,278",152.65
12/08/2022,HEIFER,LIVE FOB,65 - 80% Choice,"10,193","1,250",151.67
12/08/2022,HEIFER,LIVE FOB,35 - 65% Choice,"1,978","1,222",151.05
12/08/2022,HEIFER,LIVE FOB, 0 - 35% Choice,,,
12/08/2022,HEIFER,LIVE FOB,Total all grades,"14,438","1,250",151.74
12/08/2022,HEIFER,LIVE DELIVERED,Over 80% Choice,,,
12/08/2022,HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
12/08/2022,HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
12/08/2022,HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
12/08/2022,HEIFER,LIVE DELIVERED,Total all grades,,,
12/08/2022,HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
12/08/2022,HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
12/08/2022,HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
12/08/2022,HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
12/08/2022,HEIFER,DRESSED DELIVERED,Total all grades,,,
12/08/2022,HEIFER,DRESSED FOB,Over 80% Choice,,,
12/08/2022,HEIFER,DRESSED FOB,65 - 80% Choice,,,
12/08/2022,HEIFER,DRESSED FOB,35 - 65% Choice,,,
12/08/2022,HEIFER,DRESSED FOB, 0 - 35% Choice,,,
12/08/2022,HEIFER,DRESSED FOB,Total all grades,,,
12/08/2022,MIXED STEER/HEIFER,LIVE FOB,Over 80% Choice,"1,417","1,249",153.53
12/08/2022,MIXED STEER/HEIFER,LIVE FOB,65 - 80% Choice,"5,198","1,290",151.80
12/08/2022,MIXED STEER/HEIFER,LIVE FOB,35 - 65% Choice,"1,518","1,348",151.88
12/08/2022,MIXED STEER/HEIFER,LIVE FOB, 0 - 35% Choice,,,
12/08/2022,MIXED STEER/HEIFER,LIVE FOB,Total all grades,"8,133","1,294",152.11
12/08/2022,MIXED STEER/HEIFER,LIVE DELIVERED,Over 80% Choice,,,
12/08/2022,MIXED STEER/HEIFER,LIVE DELIVERED,65 - 80% Choice,65,"1,256",150.60
12/08/2022,MIXED STEER/HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
12/08/2022,MIXED STEER/HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
12/08/2022,MIXED STEER/HEIFER,LIVE DELIVERED,Total all grades,65,"1,256",150.60
12/08/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,Total all grades,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED FOB,Over 80% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED FOB,65 - 80% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED FOB,35 - 65% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED FOB, 0 - 35% Choice,,,
12/08/2022,MIXED STEER/HEIFER,DRESSED FOB,Total all grades,,,
12/08/2022,ALL BEEF TYPE,LIVE FOB,Total all grades,"45,159","1,308",151.80
12/08/2022,ALL BEEF TYPE,LIVE DELIVERED,Total all grades,260,"1,335",150.15
12/08/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,,
12/08/2022,ALL BEEF TYPE,DRESSED FOB,Total all grades,,,
11/04/2022,STEER,LIVE FOB,Over 80% Choice,"2,135","1,427",147.64
11/04/2022,STEER,LIVE FOB,65 - 80% Choice,"9,522","1,407",146.03
11/04/2022,STEER,LIVE FOB,35 - 65% Choice,"7,123","1,301",146.85
11/04/2022,STEER,LIVE FOB, 0 - 35% Choice,,,
11/04/2022,STEER,LIVE FOB,Total all grades,"18,780","1,369",146.53
11/04/2022,STEER,LIVE DELIVERED,Over 80% Choice,,,
11/04/2022,STEER,LIVE DELIVERED,65 - 80% Choice,192,"1,316",146.44
11/04/2022,STEER,LIVE DELIVERED,35 - 65% Choice,,,
11/04/2022,STEER,LIVE DELIVERED, 0 - 35% Choice,,,
11/04/2022,STEER,LIVE DELIVERED,Total all grades,192,"1,316",146.44
11/04/2022,STEER,DRESSED DELIVERED,Over 80% Choice,,,
11/04/2022,STEER,DRESSED DELIVERED,65 - 80% Choice,,,
11/04/2022,STEER,DRESSED DELIVERED,35 - 65% Choice,,,
11/04/2022,STEER,DRESSED DELIVERED, 0 - 35% Choice,,,
11/04/2022,STEER,DRESSED DELIVERED,Total all grades,,,
11/04/2022,STEER,DRESSED FOB,Over 80% Choice,,,
11/04/2022,STEER,DRESSED FOB,65 - 80% Choice,,,
11/04/2022,STEER,DRESSED FOB,35 - 65% Choice,,,
11/04/2022,STEER,DRESSED FOB, 0 - 35% Choice,,,
11/04/2022,STEER,DRESSED FOB,Total all grades,,,
11/04/2022,HEIFER,LIVE FOB,Over 80% Choice,"1,370","1,260",145.81
11/04/2022,HEIFER,LIVE FOB,65 - 80% Choice,"5,705","1,255",145.21
11/04/2022,HEIFER,LIVE FOB,35 - 65% Choice,959,"1,239",145.29
11/04/2022,HEIFER,LIVE FOB, 0 - 35% Choice,,,
11/04/2022,HEIFER,LIVE FOB,Total all grades,"8,034","1,254",145.32
11/04/2022,HEIFER,LIVE DELIVERED,Over 80% Choice,,,
11/04/2022,HEIFER,LIVE DELIVERED,65 - 80% Choice,29,"1,265",148.00
11/04/2022,HEIFER,LIVE DELIVERED,35 - 65% Choice,40,"1,270",148.00
11/04/2022,HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
11/04/2022,HEIFER,LIVE DELIVERED,Total all grades,69,"1,268",148.00
11/04/2022,HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
11/04/2022,HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
11/04/2022,HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
11/04/2022,HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
11/04/2022,HEIFER,DRESSED DELIVERED,Total all grades,,,
11/04/2022,HEIFER,DRESSED FOB,Over 80% Choice,,,
11/04/2022,HEIFER,DRESSED FOB,65 - 80% Choice,,,
11/04/2022,HEIFER,DRESSED FOB,35 - 65% Choice,,,
11/04/2022,HEIFER,DRESSED FOB, 0 - 35% Choice,,,
11/04/2022,HEIFER,DRESSED FOB,Total all grades,,,
11/04/2022,MIXED STEER/HEIFER,LIVE FOB,Over 80% Choice,"1,112","1,191",144.71
11/04/2022,MIXED STEER/HEIFER,LIVE FOB,65 - 80% Choice,"3,675","1,323",145.75
11/04/2022,MIXED STEER/HEIFER,LIVE FOB,35 - 65% Choice,"1,066","1,244",144.89
11/04/2022,MIXED STEER/HEIFER,LIVE FOB, 0 - 35% Choice,,,
11/04/2022,MIXED STEER/HEIFER,LIVE FOB,Total all grades,"5,853","1,283",145.39
11/04/2022,MIXED STEER/HEIFER,LIVE DELIVERED,Over 80% Choice,,,
11/04/2022,MIXED STEER/HEIFER,LIVE DELIVERED,65 - 80% Choice,79,"1,254",143.95
11/04/2022,MIXED STEER/HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
11/04/2022,MIXED STEER/HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
11/04/2022,MIXED STEER/HEIFER,LIVE DELIVERED,Total all grades,79,"1,254",143.95
11/04/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,Total all grades,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED FOB,Over 80% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED FOB,65 - 80% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED FOB,35 - 65% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED FOB, 0 - 35% Choice,,,
11/04/2022,MIXED STEER/HEIFER,DRESSED FOB,Total all grades,,,
11/04/2022,ALL BEEF TYPE,LIVE FOB,Total all grades,"32,667","1,325",146.03
11/04/2022,ALL BEEF TYPE,LIVE DELIVERED,Total all grades,340,"1,292",146.18
11/04/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,,
11/04/2022,ALL BEEF TYPE,DRESSED FOB,Total all grades,,,
10/05/2022,STEER,LIVE FOB,Over 80% Choice,"1,995","1,408",142.38
10/05/2022,STEER,LIVE FOB,65 - 80% Choice,"9,350","1,381",142.27
10/05/2022,STEER,LIVE FOB,35 - 65% Choice,"6,124","1,316",142.32
10/05/2022,STEER,LIVE FOB, 0 - 35% Choice,,,
10/05/2022,STEER,LIVE FOB,Total all grades,"17,469","1,361",142.30
10/05/2022,STEER,LIVE DELIVERED,Over 80% Choice,,,
10/05/2022,STEER,LIVE DELIVERED,65 - 80% Choice,,,
10/05/2022,STEER,LIVE DELIVERED,35 - 65% Choice,,,
10/05/2022,STEER,LIVE DELIVERED, 0 - 35% Choice,,,
10/05/2022,STEER,LIVE DELIVERED,Total all grades,,,
10/05/2022,STEER,DRESSED DELIVERED,Over 80% Choice,,,
10/05/2022,STEER,DRESSED DELIVERED,65 - 80% Choice,,,
10/05/2022,STEER,DRESSED DELIVERED,35 - 65% Choice,,,
10/05/2022,STEER,DRESSED DELIVERED, 0 - 35% Choice,,,
10/05/2022,STEER,DRESSED DELIVERED,Total all grades,,,
10/05/2022,STEER,DRESSED FOB,Over 80% Choice,,,
10/05/2022,STEER,DRESSED FOB,65 - 80% Choice,,,
10/05/2022,STEER,DRESSED FOB,35 - 65% Choice,,,
10/05/2022,STEER,DRESSED FOB, 0 - 35% Choice,,,
10/05/2022,STEER,DRESSED FOB,Total all grades,,,
10/05/2022,HEIFER,LIVE FOB,Over 80% Choice,"2,421","1,256",142.56
10/05/2022,HEIFER,LIVE FOB,65 - 80% Choice,"11,004","1,252",142.08
10/05/2022,HEIFER,LIVE FOB,35 - 65% Choice,"1,771","1,226",142.46
10/05/2022,HEIFER,LIVE FOB, 0 - 35% Choice,,,
10/05/2022,HEIFER,LIVE FOB,Total all grades,"15,196","1,250",142.20
10/05/2022,HEIFER,LIVE DELIVERED,Over 80% Choice,,,
10/05/2022,HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
10/05/2022,HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
10/05/2022,HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
10/05/2022,HEIFER,LIVE DELIVERED,Total all grades,,,
10/05/2022,HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
10/05/2022,HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
10/05/2022,HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
10/05/2022,HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
10/05/2022,HEIFER,DRESSED DELIVERED,Total all grades,,,
10/05/2022,HEIFER,DRESSED FOB,Over 80% Choice,,,
10/05/2022,HEIFER,DRESSED FOB,65 - 80% Choice,,,
10/05/2022,HEIFER,DRESSED FOB,35 - 65% Choice,,,
10/05/2022,HEIFER,DRESSED FOB, 0 - 35% Choice,,,
10/05/2022,HEIFER,DRESSED FOB,Total all grades,,,
10/05/2022,MIXED STEER/HEIFER,LIVE FOB,Over 80% Choice,577,"1,350",141.87
10/05/2022,MIXED STEER/HEIFER,LIVE FOB,65 - 80% Choice,"2,564","1,291",141.85
10/05/2022,MIXED STEER/HEIFER,LIVE FOB,35 - 65% Choice,742,"1,260",142.05
10/05/2022,MIXED STEER/HEIFER,LIVE FOB, 0 - 35% Choice,,,
10/05/2022,MIXED STEER/HEIFER,LIVE FOB,Total all grades,"3,883","1,294",141.89
10/05/2022,MIXED STEER/HEIFER,LIVE DELIVERED,Over 80% Choice,,,
10/05/2022,MIXED STEER/HEIFER,LIVE DELIVERED,65 - 80% Choice,148,"1,293",142.76
10/05/2022,MIXED STEER/HEIFER,LIVE DELIVERED,35 - 65% Choice,39,"1,300",143.00
10/05/2022,MIXED STEER/HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
10/05/2022,MIXED STEER/HEIFER,LIVE DELIVERED,Total all grades,187,"1,294",142.81
10/05/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED DELIVERED, 0 - 35% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED DELIVERED,Total all grades,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED FOB,Over 80% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED FOB,65 - 80% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED FOB,35 - 65% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED FOB, 0 - 35% Choice,,,
10/05/2022,MIXED STEER/HEIFER,DRESSED FOB,Total all grades,,,
10/05/2022,ALL BEEF TYPE,LIVE FOB,Total all grades,"36,548","1,308",142.22
10/05/2022,ALL BEEF TYPE,LIVE DELIVERED,Total all grades,187,"1,294",142.81
10/05/2022,ALL BEEF TYPE,DRESSED DELIVERED,Total all grades,,,
10/05/2022,ALL BEEF TYPE,DRESSED FOB,Total all grades,,,
09/07/2022,STEER,LIVE FOB,Over 80% Choice,"1,808","1,416",140.49
09/07/2022,STEER,LIVE FOB,65 - 80% Choice,"12,192","1,387",138.96
09/07/2022,STEER,LIVE FOB,35 - 65% Choice,"8,042","1,269",140.02
09/07/2022,STEER,LIVE FOB, 0 - 35% Choice,,,
09/07/2022,STEER,LIVE FOB,Total all grades,"22,042","1,346",139.47
09/07/2022,STEER,LIVE DELIVERED,Over 80% Choice,,,
09/07/2022,STEER,LIVE DELIVERED,65 - 80% Choice,46,"1,390",141.50
09/07/2022,STEER,LIVE DELIVERED,35 - 65% Choice,128,"1,375",141.50
09/07/2022,STEER,LIVE DELIVERED, 0 - 35% Choice,,,
09/07/2022,STEER,LIVE DELIVERED,Total all grades,174,"1,379",141.50
09/07/2022,STEER,DRESSED DELIVERED,Over 80% Choice,,,
09/07/2022,STEER,DRESSED DELIVERED,65 - 80% Choice,,,
09/07/2022,STEER,DRESSED DELIVERED,35 - 65% Choice,,,
09/07/2022,STEER,DRESSED DELIVERED, 0 - 35% Choice,,,
09/07/2022,STEER,DRESSED DELIVERED,Total all grades,,,
09/07/2022,STEER,DRESSED FOB,Over 80% Choice,,,
09/07/2022,STEER,DRESSED FOB,65 - 80% Choice,,,
09/07/2022,STEER,DRESSED FOB,35 - 65% Choice,,,
09/07/2022,STEER,DRESSED FOB, 0 - 35% Choice,,,
09/07/2022,STEER,DRESSED FOB,Total all grades,,,
09/07/2022,HEIFER,LIVE FOB,Over 80% Choice,"3,152","1,252",140.06
09/07/2022,HEIFER,LIVE FOB,65 - 80% Choice,"9,547","1,206",139.92
09/07/2022,HEIFER,LIVE FOB,35 - 65% Choice,"1,139","1,239",140.73
09/07/2022,HEIFER,LIVE FOB, 0 - 35% Choice,,,
09/07/2022,HEIFER,LIVE FOB,Total all grades,"13,838","1,219",140.02
09/07/2022,HEIFER,LIVE DELIVERED,Over 80% Choice,,,
09/07/2022,HEIFER,LIVE DELIVERED,65 - 80% Choice,,,
09/07/2022,HEIFER,LIVE DELIVERED,35 - 65% Choice,,,
09/07/2022,HEIFER,LIVE DELIVERED, 0 - 35% Choice,,,
09/07/2022,HEIFER,LIVE DELIVERED,Total all grades,,,
09/07/2022,HEIFER,DRESSED DELIVERED,Over 80% Choice,,,
09/07/2022,HEIFER,DRESSED DELIVERED,65 - 80% Choice,,,
09/07/2022,HEIFER,DRESSED DELIVERED,35 - 65% Choice,,,
